local_hour,U10,Total
0,-0.0099049001126539,-0.0099049001126539
1,-0.009267514441828,-0.009267514441828
2,-0.0094938492815436,-0.0094938492815436
3,-0.0084391515889862,-0.0084391515889862
4,-0.0037694236860412,-0.0037694236860412
5,0.0055539433405059,0.0055539433405059
6,0.0099215919346203,0.0099215919346203
7,0.0191690297180046,0.0191690297180046
8,0.0221441892595197,0.0221441892595197
9,0.013528125887514,0.013528125887514
10,-0.0016419001334121,-0.0016419001334121
11,-0.0017700004665249,-0.0017700004665249
12,-0.0024856578087266,-0.0024856578087266
13,-0.0032297830077325,-0.0032297830077325
14,-0.0052595586041709,-0.0052595586041709
15,-0.0061292172878913,-0.0061292172878913
16,-0.0070438120004911,-0.0070438120004911
17,-0.0070659293957777,-0.0070659293957777
18,-0.0062139930489336,-0.0062139930489336
19,-0.0100657140290267,-0.0100657140290267
20,-0.0121597869411956,-0.0121597869411956
21,-0.0118646620518041,-0.0118646620518041
22,-0.0110779399442877,-0.0110779399442877
23,-0.0101773534214229,-0.0101773534214229
