local_hour,FGR,Total
0,0.00057072722245,0.00057072722245
1,-0.0007684908472315,-0.0007684908472315
2,-0.0013170941388007,-0.0013170941388007
3,-0.0036063761254575,-0.0036063761254575
4,-0.0055993058099549,-0.0055993058099549
5,-0.0046183400716076,-0.0046183400716076
6,-0.0029792347449055,-0.0029792347449055
7,-0.0063598733807192,-0.0063598733807192
8,-0.0071247740821194,-0.0071247740821194
9,-0.0099394716512565,-0.0099394716512565
10,-0.0110257033668472,-0.0110257033668472
11,-0.0081235217564979,-0.0081235217564979
12,-0.006608446064338,-0.006608446064338
13,-0.0044057484902065,-0.0044057484902065
14,-0.0017513062278212,-0.0017513062278212
15,-0.0016249530525752,-0.0016249530525752
16,-0.0021315198479728,-0.0021315198479728
17,-0.000909038549752,-0.000909038549752
18,0.0034891770832392,0.0034891770832392
19,0.0066679378456281,0.0066679378456281
20,0.0050422472637734,0.0050422472637734
21,0.0031464294139462,0.0031464294139462
22,0.0018809528057748,0.0018809528057748
23,0.0011778146691445,0.0011778146691445
